nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,74,X9,1000,25,2.130496025085449,0,['X23'],24,29.009836196899414,0,['X14'],25,143.14785289764404,1,['X9'],25,228.64660453796387,1,['X9'],345,187.80562210083008,1,['X9'],6,2.1225204467773438,0,['dummy_sink'],25,2119.789734840393,1,['X9'],25,2132.5335578918457,1,['X9']
25,1,75,X24,1000,25,1.7787151336669922,0,['X22'],24,27.677799224853516,0,['X23'],25,140.08247184753418,1,['X24'],25,228.78649806976318,1,['X24'],358,211.77328395843506,1,['X24'],5,1.8752937316894531,1,['X24'],25,2103.068706512451,1,['X24'],25,2244.615439414978,1,['X24']
25,1,76,X1,1000,25,2.262746810913086,0,['X21'],24,26.679722785949707,0,['X9'],25,127.4294204711914,1,['X1'],25,214.0964059829712,1,['X1'],1259,660.6339588165283,1,['X1'],4,1.6440343856811523,0,['X11'],25,2158.478081703186,1,['X1'],25,2187.4321546554565,1,['X1']
25,1,77,X23,1000,25,2.1619997024536133,0,['X24'],24,26.283650398254395,0,['X10'],25,135.66193294525146,1,['X23'],25,229.8641996383667,1,['X23'],414,222.6456060409546,1,['X23'],7,2.364227294921875,0,['dummy_sink'],25,2079.3948678970337,1,['X23'],25,2096.025260925293,1,['X23']
25,1,78,X5,1000,25,1.627859115600586,0,['X18'],24,27.477720260620117,0,['X7'],25,136.75366497039795,1,['X5'],25,232.2453851699829,1,['X5'],310,226.98333549499512,1,['X5'],10,3.0699214935302734,0,['dummy_sink'],25,2155.103222846985,1,['X5'],25,2239.671642303467,1,['X5']
25,1,79,X23,1000,25,1.1247014999389648,0,['X24'],24,17.137688636779785,0,['X10'],25,87.8903636932373,1,['X23'],25,146.57143783569336,1,['X23'],355,134.55594539642334,1,['X23'],6,1.3550348281860352,0,['dummy_sink'],25,1271.8782482147217,1,['X23'],25,1235.5906896591187,1,['X23']
25,1,80,X15,1000,25,1.199502944946289,0,['X24'],24,17.5302152633667,0,['X9'],25,86.591965675354,1,['X15'],25,148.51005172729492,1,['X15'],326,125.29226875305176,1,['X15'],7,1.5773277282714844,0,['dummy_sink'],25,1375.8621253967285,1,['X15'],25,1365.880705833435,1,['X15']
25,1,81,X3,1000,25,1.8254013061523438,0,['X20'],24,29.483159065246582,0,['X7'],25,144.25339603424072,1,['X3'],25,230.18435287475586,1,['X3'],183,127.10450839996338,1,['X3'],4,1.4932289123535156,1,['X3'],25,2115.330888748169,1,['X3'],25,2147.157911300659,1,['X3']
25,1,82,X3,1000,25,2.238652229309082,0,['X22'],24,27.66587543487549,0,['X5'],25,138.29181957244873,1,['X3'],25,215.8134479522705,1,['X3'],273,168.66985607147217,1,['X3'],7,2.309586524963379,0,['dummy_sink'],25,2080.682752609253,1,['X3'],25,2093.921787261963,1,['X3']
25,1,83,X18,1000,25,2.0355443954467773,0,['X23'],24,29.52872943878174,0,['X19'],25,132.38280391693115,1,['X18'],25,211.48576831817627,1,['X18'],281,160.7381362915039,1,['X18'],3,1.3651866912841797,1,['X18'],25,2318.2540254592896,1,['X18'],25,2320.601752281189,1,['X18']
25,1,84,X10,1000,25,1.7710380554199219,0,['X23'],24,26.576522827148438,0,['X7'],25,129.29958724975586,1,['X10'],25,218.0663423538208,1,['X10'],306,173.0792350769043,1,['X10'],5,1.8460607528686523,0,['X21'],25,2087.3246116638184,1,['X10'],25,2068.17902469635,1,['X10']
