nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,33,X20,1000,25,1.7636985778808594,1,['X20'],24,23.359055519104004,0,['X6'],25,128.86922550201416,1,['X20'],25,202.0971450805664,1,['X20'],178,155.04490756988525,1,['X20'],5,1.6919050216674805,1,['X20'],25,2029.2312316894531,1,['X20'],25,2049.1109704971313,1,['X20']
25,1,34,X1,1000,25,1.6680736541748047,0,['X18'],24,24.83250331878662,0,['X11'],25,118.93043422698975,1,['X1'],25,198.8371934890747,1,['X1'],399,240.9331693649292,1,['X1'],6,2.061709403991699,0,['X24'],25,2257.078211784363,1,['X1'],25,2188.58464717865,1,['X1']
25,1,35,X9,1000,25,2.0588226318359375,0,['X24'],24,24.87314510345459,0,['X13'],25,123.0040807723999,1,['X9'],25,215.00639820098877,1,['X9'],196,149.84219646453857,1,['X9'],5,1.8457155227661133,0,['dummy_sink'],25,2174.875991821289,1,['X9'],25,2123.0186128616333,1,['X9']
25,1,36,X5,1000,25,2.0123863220214844,0,['X23'],24,24.637060165405273,0,['X21'],25,138.70079898834229,1,['X5'],25,220.74970149993896,1,['X5'],212,123.7945146560669,1,['X5'],4,1.6639537811279297,0,['X16'],25,2129.4108028411865,1,['X5'],25,2183.4114847183228,1,['X5']
25,1,37,X15,1000,25,1.8714513778686523,0,['X21'],24,25.595328330993652,0,['X19'],25,133.30930137634277,0,['X23'],25,218.33453750610352,0,['X23'],341,247.62445735931396,0,['X23'],7,2.3606557846069336,0,['dummy_sink'],25,1716.132526397705,0,['X21'],25,1739.8935441970825,0,['X21']
25,1,38,X1,1000,25,1.4028635025024414,0,['X17'],24,17.30498504638672,0,['X18'],25,88.81525421142578,1,['X1'],25,145.14986515045166,1,['X1'],272,105.99787425994873,1,['X1'],7,1.6195297241210938,0,['X10'],25,1366.851161956787,1,['X1'],25,1337.5230979919434,1,['X1']
25,1,39,X9,1000,25,2.246243476867676,0,['X23'],24,25.889179229736328,0,['X21'],25,128.37825393676758,1,['X9'],25,227.25926208496094,1,['X9'],271,183.00582790374756,1,['X9'],6,2.0853357315063477,1,['X9'],25,2202.0463256835938,1,['X9'],25,2169.004726409912,1,['X9']
25,1,40,X6,1000,25,1.883199691772461,0,['X24'],24,27.007346153259277,0,['X11'],25,140.1257448196411,1,['X6'],25,239.24256706237793,1,['X6'],497,255.84235858917236,1,['X6'],4,1.7190399169921875,0,['X13'],25,1683.1634845733643,1,['X6'],25,1652.0508193969727,1,['X6']
25,1,41,X0,1000,25,1.1772432327270508,0,['X23'],24,17.734606742858887,0,['X11'],25,88.29008388519287,1,['X0'],25,150.5683012008667,1,['X0'],204,97.63318824768066,1,['X0'],3,0.8219728469848633,0,['X13'],25,1380.7775259017944,1,['X0'],25,1328.9323844909668,1,['X0']
25,1,42,X6,1000,25,2.0943603515625,0,['X24'],24,30.405871391296387,0,['X19'],25,144.63156509399414,0,['X20'],25,229.3106346130371,0,['X20'],276,167.71414947509766,0,['X15'],4,1.602147102355957,0,['X15'],25,2069.348307609558,0,['X20'],25,2092.356948852539,0,['X20']
25,1,43,X4,1000,25,2.029541015625,0,['X19'],24,28.914119720458984,0,['X6'],25,140.46419143676758,1,['X4'],25,239.88753128051758,1,['X4'],283,167.4513454437256,1,['X4'],8,2.559457778930664,0,['dummy_sink'],25,2075.5215435028076,1,['X4'],25,2182.5675497055054,1,['X4']
25,1,44,X20,1000,25,1.1131086349487305,0,['X23'],24,17.035757064819336,0,['X11'],25,90.86239719390869,1,['X20'],25,169.2174425125122,1,['X20'],320,128.21562480926514,1,['X20'],7,1.5247440338134766,0,['dummy_sink'],25,1259.0894260406494,0,['X9'],25,1104.6211023330688,1,['X20']
25,1,45,X11,1000,25,2.11202335357666,0,['X23'],24,25.252644538879395,0,['X22'],25,135.83693027496338,0,['X23'],25,230.84460067749023,0,['X23'],359,217.67528629302979,0,['X23'],5,1.7665987014770508,0,['X23'],25,1765.1942100524902,1,['X11'],25,1782.7016344070435,1,['X11']
25,1,46,X5,1000,25,1.9193859100341797,0,['X24'],24,27.315412521362305,0,['X8'],25,138.9914264678955,1,['X5'],25,230.83660316467285,1,['X5'],282,198.0710391998291,1,['X5'],5,1.7472171783447266,0,['dummy_sink'],25,2183.3309087753296,1,['X5'],25,2195.250178337097,1,['X5']
25,1,47,X7,1000,25,1.1124763488769531,0,['X24'],24,17.42651081085205,0,['X13'],25,89.16826057434082,1,['X7'],25,145.55734157562256,1,['X7'],357,134.47403812408447,1,['X7'],4,1.0518264770507812,0,['X3'],25,1383.2436246871948,1,['X7'],25,1410.6468563079834,1,['X7']
25,1,48,X0,1000,25,1.8526363372802734,0,['X19'],24,26.190781593322754,0,['X6'],25,137.10766506195068,1,['X0'],25,222.11915969848633,1,['X0'],339,181.24155521392822,1,['X0'],3,1.3472986221313477,0,['X17'],25,2215.120147705078,1,['X0'],25,2197.5506982803345,1,['X0']
25,1,49,X10,1000,25,2.131028175354004,0,['X24'],24,27.21091938018799,0,['X18'],25,136.47785758972168,1,['X10'],25,221.18162059783936,1,['X10'],349,203.3857307434082,1,['X10'],4,1.5556316375732422,0,['X20'],25,2024.330472946167,1,['X10'],25,1968.4773244857788,1,['X10']
